"subj_idx","age","trial_num","trial_type","rt","response"
"1616_1",4,10,"some",8.389,0
"1616_1",4,12,"all",3.968,1
"1616_1",4,13,"all",4.485,1
"1616_1",4,14,"all",11.988,1
"1616_1",4,16,"none",7.89,0
"1616_1",4,18,"none",13.996,1
"1616_1",4,19,"some",5.863,0
"1616_1",4,20,"none",11.804,1
"1616_1",4,21,"none",5.876,1
"1616_1",4,22,"none",10.568,1
"1616_1",4,23,"none",7.255,0
"1616_1",4,24,"all",4.622,1
"1616_1",4,25,"all",7.112,1
"1616_1",4,26,"some",1.793,0
"1616_1",4,27,"all",5.162,1
"1616_1",4,28,"all",11.344,1
"1616_1",4,29,"all",5.227,1
"1616_1",4,30,"some",13.965,0
"1616_2",5.9384,1,"none",8.056,1
"1616_2",5.9384,2,"all",5.315,1
"1616_2",5.9384,3,"none",2.788,1
"1616_2",5.9384,4,"none",3.044,1
"1616_2",5.9384,5,"some",2.267,1
"1616_2",5.9384,6,"some",1.183,1
"1616_2",5.9384,7,"all",1.066,1
"1616_2",5.9384,8,"all",1.141,1
"1616_2",5.9384,10,"none",2.674,1
"1616_2",5.9384,11,"some",1.982,1
"1616_2",5.9384,12,"none",3.601,1
"1616_2",5.9384,13,"all",1.918,1
"1616_2",5.9384,14,"some",3.292,1
"1616_2",5.9384,15,"some",1.539,1
"1616_2",5.9384,16,"all",0.888,1
"1616_2",5.9384,17,"some",2.253,1
"1616_2",5.9384,18,"all",0.868,1
"1616_2",5.9384,20,"none",3.53,1
"1616_2",5.9384,21,"all",3.418,1
"1616_2",5.9384,22,"some",1.226,1
"1616_2",5.9384,23,"all",1.539,1
"1616_2",5.9384,24,"none",7.119,1
"1616_2",5.9384,25,"all",2.549,1
"1616_2",5.9384,26,"some",2.387,1
"1616_2",5.9384,27,"some",2.423,1
"1616_2",5.9384,29,"none",8.062,1
"1616_2",5.9384,30,"some",1.923,1
"1616_1",4,1,"all",12.611,1
"1616_3",4.12868,1,"some",7.948,0
"1616_3",4.12868,2,"all",4.381,1
"1616_3",4.12868,3,"all",2.714,1
"1616_3",4.12868,4,"some",6.488,0
"1616_3",4.12868,5,"none",2.536,0
"1616_3",4.12868,6,"all",11.828,1
"1616_3",4.12868,7,"some",5.956,0
"1616_3",4.12868,8,"some",6.005,0
"1616_3",4.12868,9,"all",5.895,1
"1616_3",4.12868,10,"some",2.776,0
"1616_3",4.12868,14,"some",9.09,0
"1616_3",4.12868,15,"all",4.557,1
"1616_3",4.12868,16,"none",6.069,0
"1616_3",4.12868,18,"some",5.008,0
"1616_3",4.12868,19,"all",8.93,1
"1616_3",4.12868,21,"none",6.977,1
"1616_3",4.12868,22,"some",3.664,0
"1616_3",4.12868,23,"all",10.473,1
"1616_3",4.12868,24,"all",4.746,1
"1616_3",4.12868,25,"none",9.258,1
"1616_3",4.12868,26,"none",6.073,1
"1616_3",4.12868,28,"all",6.644,1
"1616_3",4.12868,29,"all",5.54,1
"1616_5",5.63176,1,"all",2.304,0
"1616_5",5.63176,3,"none",4.28,0
"1616_5",5.63176,4,"some",2.025,0
"1616_5",5.63176,5,"all",0.718,1
"1616_5",5.63176,6,"none",2.053,1
"1616_5",5.63176,7,"some",1.351,1
"1616_5",5.63176,8,"all",2.688,1
"1616_5",5.63176,9,"all",0.71,1
"1616_5",5.63176,10,"none",1.848,1
"1616_5",5.63176,11,"none",1.213,1
"1616_5",5.63176,12,"some",1.439,1
"1616_5",5.63176,13,"all",2.638,0
"1616_5",5.63176,14,"all",5.441,0
"1616_5",5.63176,15,"some",2.338,1
"1616_5",5.63176,16,"none",1.621,1
"1616_5",5.63176,17,"none",0.783,1
"1616_5",5.63176,18,"some",1.041,1
"1616_5",5.63176,19,"all",2.116,1
"1616_5",5.63176,20,"none",2.201,1
"1616_5",5.63176,21,"none",2.608,1
"1616_5",5.63176,22,"all",1.979,1
"1616_5",5.63176,23,"some",0.976,1
"1616_5",5.63176,24,"some",1.433,1
"1616_5",5.63176,25,"some",5.901,0
"1616_5",5.63176,26,"all",1.965,1
"1616_5",5.63176,27,"some",1.075,1
"1616_5",5.63176,28,"some",2.288,1
"1616_5",5.63176,29,"none",2.205,1
"1616_5",5.63176,30,"none",1.153,1
"1616_7",5.48392,1,"some",3.925,1
"1616_7",5.48392,2,"all",1.356,0
"1616_7",5.48392,3,"all",1.906,1
"1616_7",5.48392,4,"some",0.716,0
"1616_7",5.48392,5,"none",1.663,0
"1616_7",5.48392,6,"all",3.053,1
"1616_7",5.48392,7,"some",2.195,0
"1616_7",5.48392,8,"all",1.506,1
"1616_7",5.48392,9,"all",3.808,1
"1616_7",5.48392,10,"none",2.374,0
"1616_7",5.48392,11,"none",1.728,0
"1616_7",5.48392,12,"all",1.499,1
"1616_7",5.48392,13,"all",2.159,1
"1616_7",5.48392,14,"some",1.852,0
"1616_7",5.48392,16,"some",2.452,0
"1616_7",5.48392,17,"none",1.842,0
"1616_7",5.48392,18,"none",1.159,0
"1616_7",5.48392,19,"some",2.965,0
"1616_7",5.48392,20,"some",2.739,0
"1616_7",5.48392,21,"all",4.594,1
"1616_7",5.48392,22,"none",1.506,0
